species	SD	H	DBH	Dwood			
Abarema_cochliacarpos	abiotic	5	11.14	0.511571			
Abarema_filamentosa	abiotic	4	85	0.52			
Acritopappus_confertus	abiotic	3.2	6.4	0.51			
Actinostemon_appendiculatus	abiotic	35	64	0.907			
Actinostemon_concolor	abiotic	6	4.02	0.8			
Aegiphila_integrifolia	biotic	12	5.11	0.86			
Aegiphila_pernambucensis	biotic	3	8	0.66			
Agarista_revoluta	abiotic	6	35	0.6			
Albizia_inundata	biotic	10	23	0.65			
Albizia_polycephala	abiotic	11	25	0.556357			
Alchornea_glandulosa	biotic	9	20.63	0.39			
Allagoptera_arenaria	biotic	2	15	0.5517604			
Allagoptera_brevicalyx	biotic	2	20	0.5517			
Allagoptera_caudescens	biotic	5	25	0.57			
Allophylus_edulis	biotic	13.05	5.57	0.66			
Allophylus_puberulus	biotic	20	30	0.51			
Allophylus_quercifolius	abiotic	4	27	0.51775			
Allophylus_racemosus	biotic	7.5	7.5	0.548402432			
Alseis_floribunda	biotic	10	17.33	0.85			
Alseis_latifolia	abiotic	12	11.5	0.74			
Alseis_pickelii	abiotic	45	91	0.678667			
Amaioua_intermedia	biotic	7	8.38	0.64			
Amanoa_guianensis	abiotic	9.47	20.31	0.625			
Anacardium_occidentale	biotic	10	17.05	0.44			
Andira_anthelmia	biotic	16	50	0.778			
Andira_fraxinifolia	biotic	9	8	0.92			
Andira_humilis	biotic	6	13	0.773861			
Andira_nitida	biotic	16	18.07	0.67			
Annona_coriacea	biotic	6	5.5	0.498			
Annona_glabra	biotic	6.58	11.29	0.5			
Annona_leptopetala	biotic	5	21	0.693			
Annona_montana	biotic	10	13.3	0.49			
Annona_pickelii	biotic	5	12.6	0.518778			
Annona_salzmannii	biotic	15	30	0.51			
Annona_vepretorum	biotic	10	30	0.45			
Aparisthmium_cordatum	biotic	16	30.18	0.39			
Apeiba_albiflora	biotic	7	5.2	0.24			
Apeiba_tibourbou	biotic	10.43	30	0.23			
Apuleia_leiocarpa	abiotic	10.14	41.4	0.8			
Aspidosperma_discolor	abiotic	18	11	0.758			
Aspidosperma_pyrifolium	abiotic	8	29	0.79			
Astronium_concinnum	abiotic	7	14	1.07			
Astronium_fraxinifolium	abiotic	9.33	12.82	0.85			
Astronium_graveolens	biotic	23.31	40	0.84			
Attalea_funifera	biotic	8	30	0.326			
Attalea_oleifera	biotic	30	45	0.33			
Averrhoidium_gardnerianum	biotic	5	21	0.67			
Bactris_setosa	biotic	2.7	4	0.551			
Balfourodendron_molle	abiotic	11	6.152	0.666429			
Barnebya_harleyi	abiotic	12	40	0.77			
Bauhinia_cheilantha	abiotic	2.4	3.49	0.854			
Bauhinia_pentandra	abiotic	5	10	0.755333			
Bixa_orellana	biotic	8	6.68	0.36			
Bowdichia_virgilioides	abiotic	8	13.07	0.91			
Brodriguesia_santosii	abiotic	5	10.3	0.73			
Brosimum_gaudichaudii	biotic	10	7.31	0.64			
Brosimum_guianense	biotic	19	30	0.84			
Brosimum_rubescens	biotic	19.33	45.13	0.81			
Byrsonima_bahiana	biotic	9	11.6	0.648677			
Byrsonima_chrysophylla	biotic	6	10	0.64			
Byrsonima_coccolobifolia	biotic	3.64	10.3	0.62			
Byrsonima_cydoniifolia	biotic	5.12	12.4	0.648677			
Byrsonima_gardneriana	biotic	4	15	0.648			
Byrsonima_sericea	biotic	6	9.54	0.78			
Byrsonima_vacciniifolia	biotic	2.5	5.5	0.64			
Byrsonima_verbascifolia	biotic	3.68	15	0.75			
Campomanesia_aromatica	biotic	2.5	5	0.83			
Campomanesia_dichotoma	biotic	5	8.49	0.8174			
Campomanesia_eugenioides	biotic	5	20	0.74			
Campomanesia_ilhoensis	biotic	5	7.158	0.8174			
Capparidastrum_frondosum	biotic	7	13.3	0.634980315			
Caraipa_densifolia	biotic	30	51	0.64			
Carpotroche_brasiliensis	biotic	10	11	0.45			
Casearia_arborea	biotic	8.84	9.906	0.73			
Casearia_commersoniana	biotic	11	9	0.614979674			
Casearia_decandra	biotic	5.45	9.9	0.73			
Casearia_grandiflora	biotic	10	4.6	0.77			
Casearia_lasiophylla	biotic	18	10.5	0.624615			
Cassia_ferruginea	biotic	12	50	1.232			
Cassia_grandis	biotic	30	26	0.735828			
Cecropia_pachystachya	biotic	8	4.05	0.41			
Cecropia_palmata	biotic	9	23.95	0.339835			
Ceiba_glaziovii	biotic	8	11.89	0.59			
Celtis_iguanaea	biotic	3.96	5.32	0.655			
Cestrum_axillare	biotic	3	6	0.39			
Cestrum_salzmannii	biotic	2	5	0.43			
Chaetocarpus_echinocarpus	biotic	8	15.18	0.67			
Chaetocarpus_myrsinites	biotic	7	15.9	0.7775			
Chamaecrista_blanchetii	abiotic	2	3.5	0.903			
Chamaecrista_cytisoides	abiotic	2.1	3	0.9035			
Chamaecrista_eitenorum	abiotic	8	67	0.32			
Chamaecrista_ensiformis	abiotic	6	9	0.9			
Chloroleucon_dumosum	abiotic	2.5	7.28	0.52			
Chloroleucon_foliolosum	biotic	9.5	13.5	0.667167			
Chomelia_obtusa	biotic	7	18.3	0.556667			
Chrysobalanus_icaco	biotic	5.83	5.03	0.75			
Chrysophyllum_splendens	biotic	18	23.33	0.76			
Clusia_hilariana	biotic	16	24	0.676429			
Clusia_nemorosa	biotic	3	5.37	0.6			
Clusia_paralicola	biotic	8	10.8	0.65			
Cnidoscolus_quercifolius	abiotic	5	8	0.55			
Coccoloba_alnifolia	biotic	4	9.86	0.686923			
Coccoloba_mollis	biotic	12.28	50.1	0.675			
Coccoloba_ramosissima	biotic	2.7	36	0.57			
Coccoloba_rosea	biotic	10	30	0.686923			
Cochlospermum_vitifolium	abiotic	9.32	11.42	0.21			
Commiphora_leptophloeos	abiotic	12	21.4	0.43			
Conocarpus_erectus	abiotic	9.7536	8.89	1			
Copernicia_prunifera	biotic	4	25	0.791			
Cordia_glabrata	biotic	10	12.7	0.77			
Cordia_nodosa	biotic	10	16.93	0.39			
Cordia_sellowiana	abiotic	11	10.9	0.427036952			
Cordia_superba	abiotic	9	10	0.82			
Cordia_toqueve	abiotic	18	62	0.54247			
Cordia_trichotoma	abiotic	25	20.83	0.63			
Couepia_impressa	biotic	30	25	0.79			
Couepia_uiti	biotic	35	45	0.79817			
Coutarea_hexandra	abiotic	8	55.21	0.6			
Crateva_tapia	biotic	15	8.98	0.51			
Croton_blanchetianus	abiotic	5	10.2	0.743			
Cupania_emarginata	biotic	4	6.8	0.608357			
Cupania_impressinervia	biotic	12	8.28	0.64			
Cupania_oblongifolia	biotic	15	6	0.67			
Cupania_racemosa	biotic	6	7.64	0.64			
Curatella_americana	biotic	8.3	29.75	0.65			
Dialium_guianense	biotic	36.5	49.38	0.89			
Dimorphandra_jorgei	biotic	30	56	0.787071			
Duguetia_gardneriana	biotic	12	15	0.79			
Duguetia_moricandiana	biotic	6	10	0.72885			
Ecclinusa_ramiflora	biotic	8.25	16.12	0.961			
Emmotum_affine	biotic	26	70	0.82825			
Emmotum_nitens	biotic	6.83	31.71	0.93			
Enterolobium_contortisiliquum	abiotic	27	36.02	0.39			
Enterolobium_timbouva	abiotic	10	15.3	0.53			
Eremanthus_capitatus	abiotic	23.75	64	0.68			
Eriotheca_macrophylla	abiotic	23	99.87	0.437619			
Erythrina_velutina	biotic	8	20.69	0.289051			
Erythroxylum_affine	biotic	5	40	0.7896			
Erythroxylum_andrei	biotic	3.5	7	0.789611			
Erythroxylum_caatingae	biotic	6	40	0.789611			
Erythroxylum_citrifolium	biotic	10	60.3	0.71			
Erythroxylum_mucronatum	biotic	6	3.8	0.81			
Erythroxylum_nobile	biotic	16.19	40	0.789611			
Erythroxylum_passerinum	biotic	5	8	0.789611			
Erythroxylum_pulchrum	biotic	8	40	1.071			
Erythroxylum_revolutum	biotic	3	6	0.853			
Erythroxylum_squamatum	biotic	9	8.7	0.71			
Erythroxylum_subrotundum	biotic	18	40	0.789611			
Eschweilera_ovata	abiotic	13	22.35	0.9			
